Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,40,28.3,5.25,162,6327,5678,851,1603,333,32,152,811,117,51,462,805,0.282,0.341,0.433,0.773,105,2456,105,74,49,64,42,1165
Arizona Diamondbacks,42,31.7,5.06,162,6318,5508,819,1471,283,41,165,783,92,46,643,1016,0.267,0.346,0.423,0.769,93,2331,130,50,62,53,58,1211
Atlanta Braves,38,30.6,4.4,161,6224,5495,708,1428,280,25,164,669,76,39,558,1028,0.26,0.331,0.409,0.741,93,2250,147,54,67,49,68,1185
Baltimore Orioles,46,29.2,4.12,162,6096,5491,667,1353,311,27,165,636,110,48,452,993,0.246,0.309,0.403,0.712,92,2213,128,64,40,49,25,1037
Boston Red Sox,39,29.9,5.3,162,6332,5640,859,1560,348,33,177,810,80,28,545,944,0.277,0.345,0.444,0.789,106,2505,139,72,22,53,39,1175
Chicago Cubs,44,30.1,4.36,162,6242,5496,706,1351,259,29,200,676,63,21,585,1269,0.246,0.321,0.413,0.734,94,2268,117,44,78,39,52,1173
Chicago White Sox,35,28.9,5.28,162,6208,5502,856,1475,289,29,217,819,75,31,555,952,0.268,0.338,0.449,0.787,107,2473,111,49,48,53,17,1085
Cincinnati Reds,43,27.8,4.38,162,6254,5470,709,1386,297,21,169,678,116,52,583,1188,0.253,0.33,0.408,0.738,91,2232,119,66,95,40,66,1169
Cleveland Indians,59,30.4,4.56,162,6099,5423,739,1349,255,26,192,706,52,37,542,1000,0.249,0.321,0.412,0.733,96,2232,149,56,39,39,35,1066
Colorado Rockies,43,28.6,4.8,162,6165,5512,778,1508,283,41,152,726,103,53,497,1043,0.274,0.337,0.423,0.76,88,2329,133,56,49,50,40,1094
Detroit Tigers,57,28.1,3.57,161,5920,5406,575,1340,265,37,124,546,65,44,363,1035,0.248,0.3,0.379,0.679,86,2051,125,64,30,57,22,1029
Florida Marlins,41,28.4,4.31,162,6263,5496,699,1433,280,32,146,653,177,73,595,1130,0.261,0.337,0.403,0.74,97,2215,129,61,59,49,69,1190
Houston Astros,41,30.1,4.62,162,6252,5503,749,1441,291,32,167,719,71,27,589,1120,0.262,0.338,0.417,0.755,93,2297,144,59,64,37,57,1177
Kansas City Royals,52,29.3,4.55,162,6206,5535,737,1415,285,42,140,695,140,65,524,921,0.256,0.323,0.398,0.721,84,2204,106,52,44,51,27,1092
Los Angeles Dodgers,41,30,4.4,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,0.264,0.32,0.409,0.729,98,2273,140,53,67,44,50,1087
Milwaukee Brewers,49,29.9,3.87,162,6083,5415,627,1369,269,29,139,597,94,50,500,1125,0.253,0.32,0.39,0.711,88,2113,144,55,79,34,37,1086
Minnesota Twins,42,26.6,4.77,161,6196,5582,768,1518,348,36,167,731,79,62,472,1089,0.272,0.332,0.437,0.769,103,2439,121,56,34,52,30,1124
Montreal Expos,43,28.2,4.54,162,6250,5479,735,1432,300,36,162,695,118,64,575,1104,0.261,0.334,0.418,0.752,95,2290,123,46,108,42,85,1158
New York Mets,48,30.6,4.29,161,6150,5496,690,1409,238,22,160,650,87,42,486,1044,0.256,0.322,0.395,0.717,92,2171,142,63,75,30,46,1111
New York Yankees,38,30,5.57,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,114,2547,150,72,23,41,48,1191
Oakland Athletics,41,28.6,4.94,162,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,106,2400,128,68,20,36,37,1197
Philadelphia Phillies,39,27.5,4.41,161,6323,5523,710,1428,325,41,165,676,104,43,640,1095,0.259,0.339,0.422,0.761,105,2330,129,53,67,39,70,1260
Pittsburgh Pirates,38,27.9,3.98,161,6049,5330,641,1300,263,20,142,610,86,49,537,1109,0.244,0.319,0.381,0.7,82,2029,97,73,68,41,44,1149
San Diego Padres,59,29.1,4.09,162,6178,5515,662,1393,243,29,136,627,71,44,547,1062,0.253,0.321,0.381,0.702,93,2102,132,30,45,41,42,1158
Seattle Mariners,40,31.2,5.02,162,6362,5569,814,1531,285,31,152,771,137,58,629,1003,0.275,0.35,0.419,0.769,107,2334,123,51,41,72,62,1239
San Francisco Giants,38,32,4.83,162,6298,5497,783,1465,300,35,198,751,74,21,616,961,0.267,0.344,0.442,0.786,110,2429,136,65,68,52,103,1241
St. Louis Cardinals,44,28.9,4.86,162,6246,5505,787,1475,285,26,175,758,86,42,542,927,0.268,0.338,0.425,0.763,102,2337,123,67,83,49,77,1160
Tampa Bay Devil Rays,43,27,4.18,161,6198,5604,673,1418,297,35,133,640,102,45,456,1115,0.253,0.314,0.39,0.704,89,2184,116,58,44,36,29,1132
Texas Rangers,51,29,5.2,162,6332,5618,843,1510,304,27,230,806,62,34,554,1055,0.269,0.338,0.455,0.794,104,2558,129,62,48,50,45,1155
Toronto Blue Jays,45,27.2,5.02,162,6230,5581,813,1457,305,38,187,771,71,18,522,1142,0.261,0.327,0.43,0.757,96,2399,130,53,17,57,30,1104
League Average,41,29.2,4.62,162,6220,5519,747,1442,290,31,169,711,92,43,542,1046,0.261,0.331,0.417,0.748,97,2300,128,58,54,47,48,1147
